state,cost_per_kWh
Alabama,0.1679
Alaska,0.2657
Arizona,0.1562
Arkansas,0.1332
California,0.3375
Colorado,0.1633
Connecticut,0.2784
Delaware,0.1839
District of Columbia,0.2403
Florida,0.1577
Georgia,0.146
Hawaii,0.3989
Idaho,0.1251
Illinois,0.1882
Indiana,0.1742
Iowa,0.1354
Kansas,0.1523
Kentucky,0.1368
Louisiana,0.1244
Maine,0.2955
Maryland,0.224
Massachusetts,0.3151
Michigan,0.2055
Minnesota,0.1644
Mississippi,0.1453
Missouri,0.1301
Montana,0.1433
Nebraska,0.1319
Nevada,0.1383
New Hampshire,0.2739
New Jersey,0.2265
New Mexico,0.15
New York,0.2707
North Carolina,0.1512
North Dakota,0.1287
Ohio,0.1793
Oklahoma,0.1448
Oregon,0.1623
Pennsylvania,0.2058
Rhode Island,0.313
South Carolina,0.1571
South Dakota,0.1415
Tennessee,0.1312
Texas,0.1618
Utah,0.1375
Vermont,0.2489
Virginia,0.1643
Washington,0.1412
West Virginia,0.1626
Wisconsin,0.1845
Wyoming,0.1518